pod,CPU(m),MEMORY(Mi)
ai-prediction-7b6c54f4c9-hwsvl,0.0016946647447995563,120.4609375
storage-provisioner,0.0019185144155559207,28.98046875
ai-prediction-7b6c54f4c9-7zkmv,0.0016984387993607317,120.515625
ai-prediction-7b6c54f4c9-6zfvf,0.0016575130802706235,203.48828125
ai-prediction-7b6c54f4c9-fgc5k,0.0016765781749531453,120.8671875
my-nginx-5b584c864b-vrlxm,0.0,27.79296875
kube-proxy-8qcpv,0.0007962890652884655,67.4375
ai-prediction-7b6c54f4c9-ww4s4,0.0016510856854156735,135.71875
coredns-668d6bf9bc-hmppb,0.002588101338613056,59.875
etcd-minikube,0.025933663373386723,174.53515625
kube-controller-manager-minikube,0.01916309300988899,126.09765625
metrics-server-8467fcc7b7-ljv6z,0.003793671470572312,60.5625
kube-scheduler-minikube,0.007963111191790603,69.65234375
kube-apiserver-minikube,0.050272868973249535,548.41796875
prometheus-prometheus-kube-prometheus-prometheus-0,0.016973188615333777,256.6953125
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0020872674878246607,51.8359375
prometheus-grafana-68589f687c-xbp7f,0.018183819165776986,322.42578125
prometheus-prometheus-node-exporter-9r6zb,0.001068238732075474,18.69921875
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0013792890169298628,39.375
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0012935281271706255,47.125
ai-prediction-7b6c54f4c9-hwsvl,0.0017083829306776932,120.4609375
storage-provisioner,0.0019015806647938492,28.9765625
ai-prediction-7b6c54f4c9-7zkmv,0.0017198919439542703,120.515625
ai-prediction-7b6c54f4c9-6zfvf,0.001683039679793379,203.48828125
ai-prediction-7b6c54f4c9-fgc5k,0.0017021378753922006,120.8671875
my-nginx-5b584c864b-vrlxm,0.0,27.79296875
kube-proxy-8qcpv,0.0007767472972484372,67.44921875
ai-prediction-7b6c54f4c9-ww4s4,0.0017260745656701082,135.71875
coredns-668d6bf9bc-hmppb,0.002619919634651149,60.640625
etcd-minikube,0.02519741217943979,174.46484375
kube-controller-manager-minikube,0.01861877868479056,126.09765625
metrics-server-8467fcc7b7-ljv6z,0.0038679824204744637,60.5703125
kube-scheduler-minikube,0.007978168521331732,69.6484375
kube-apiserver-minikube,0.051587565088036975,539.8046875
prometheus-prometheus-kube-prometheus-prometheus-0,0.01707560472797309,250.19921875
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0021516826836941614,51.8359375
prometheus-grafana-68589f687c-xbp7f,0.018968932742705932,322.734375
prometheus-prometheus-node-exporter-9r6zb,0.001158808339105713,17.98828125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.001507413536993964,39.3828125
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.001417549311227185,48.03125
ai-prediction-7b6c54f4c9-hwsvl,0.001706855053612758,120.4609375
storage-provisioner,0.0019474074786256317,28.87890625
ai-prediction-7b6c54f4c9-7zkmv,0.0017161494928603818,120.515625
ai-prediction-7b6c54f4c9-6zfvf,0.001690741993884917,203.48828125
ai-prediction-7b6c54f4c9-fgc5k,0.001670744971516189,120.8671875
my-nginx-5b584c864b-vrlxm,0.0,27.79296875
kube-proxy-8qcpv,0.0007852459536096112,67.5625
ai-prediction-7b6c54f4c9-ww4s4,0.001720452857059718,135.71875
coredns-668d6bf9bc-hmppb,0.002501016939659244,60.63671875
etcd-minikube,0.026300310484319654,174.53125
kube-controller-manager-minikube,0.019421570415805157,126.09765625
metrics-server-8467fcc7b7-ljv6z,0.0038401884265297764,60.625
kube-scheduler-minikube,0.008344184290300526,69.4453125
kube-apiserver-minikube,0.053278431272338195,535.44921875
prometheus-prometheus-kube-prometheus-prometheus-0,0.01701497753564228,259.99609375
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0020582873798924033,52.4609375
prometheus-grafana-68589f687c-xbp7f,0.018906583715663956,322.3828125
prometheus-prometheus-node-exporter-9r6zb,0.00136315532439626,18.94921875
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0014677159281138873,39.4765625
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.001327408954671031,46.0234375
ai-prediction-7b6c54f4c9-hwsvl,0.0016631092436974813,120.4609375
storage-provisioner,0.0018834361515103087,29.23828125
ai-prediction-7b6c54f4c9-7zkmv,0.001698078246881786,120.515625
ai-prediction-7b6c54f4c9-6zfvf,0.001670548424981445,203.48828125
ai-prediction-7b6c54f4c9-fgc5k,0.0016896567724469032,120.8671875
my-nginx-5b584c864b-vrlxm,0.0,27.79296875
kube-proxy-8qcpv,0.0008807555850411774,67.453125
ai-prediction-7b6c54f4c9-ww4s4,0.0016990181415757104,135.71875
coredns-668d6bf9bc-hmppb,0.0025541661552704203,61.20703125
etcd-minikube,0.02564426755339026,174.60546875
kube-controller-manager-minikube,0.01951258195397445,126.2109375
metrics-server-8467fcc7b7-ljv6z,0.0037098129072035526,60.64453125
kube-scheduler-minikube,0.008241837578879233,69.58984375
kube-apiserver-minikube,0.0528727699948318,550.828125
prometheus-prometheus-kube-prometheus-prometheus-0,0.016636719524993883,259.21484375
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0018256283582262234,52.45703125
prometheus-grafana-68589f687c-xbp7f,0.018328860703704593,322.4140625
prometheus-prometheus-node-exporter-9r6zb,0.0013583555648704984,19.34375
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0014101043885811674,39.4765625
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0014330903604727466,46.80078125
ai-prediction-7b6c54f4c9-hwsvl,0.001640780337726817,120.4609375
storage-provisioner,0.0018398055145686344,28.89453125
ai-prediction-7b6c54f4c9-7zkmv,0.0016872808291811298,120.515625
ai-prediction-7b6c54f4c9-6zfvf,0.001605736700810394,203.48828125
ai-prediction-7b6c54f4c9-fgc5k,0.0016817415790641255,120.8671875
my-nginx-5b584c864b-vrlxm,0.0,27.79296875
kube-proxy-8qcpv,0.0008610137403246113,67.453125
ai-prediction-7b6c54f4c9-ww4s4,0.0016655576567475659,135.71875
coredns-668d6bf9bc-hmppb,0.002305121653794787,61.43359375
etcd-minikube,0.02540107674925244,174.80859375
kube-controller-manager-minikube,0.018649574344302564,126.21484375
metrics-server-8467fcc7b7-ljv6z,0.003696979836500855,60.67578125
kube-scheduler-minikube,0.008089493606941235,69.58984375
kube-apiserver-minikube,0.052128950788782505,550.90234375
prometheus-prometheus-kube-prometheus-prometheus-0,0.016712775150224943,261.3515625
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0018440055611838,52.55078125
prometheus-grafana-68589f687c-xbp7f,0.017147051638799347,321.31640625
prometheus-prometheus-node-exporter-9r6zb,0.001289110601551448,19.3515625
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012970354370807444,39.50390625
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0010939891040302324,46.90625
ai-prediction-7b6c54f4c9-hwsvl,0.0016168932975229534,120.23046875
storage-provisioner,0.0017944156827570305,26.96484375
ai-prediction-7b6c54f4c9-7zkmv,0.0016437682574088318,120.2890625
ai-prediction-7b6c54f4c9-6zfvf,0.0016306349684020427,182.32421875
ai-prediction-7b6c54f4c9-fgc5k,0.001630593693382339,120.640625
my-nginx-5b584c864b-vrlxm,0.0,26.828125
kube-proxy-8qcpv,0.0008537612118796089,57.46484375
ai-prediction-7b6c54f4c9-ww4s4,0.0016380251769432183,133.8515625
coredns-668d6bf9bc-hmppb,0.002274644856098233,49.90625
etcd-minikube,0.02384783235622303,155.171875
kube-controller-manager-minikube,0.01904504730842064,113.10546875
metrics-server-8467fcc7b7-ljv6z,0.0034706111685323068,52.82421875
kube-scheduler-minikube,0.008010540812731528,58.484375
kube-apiserver-minikube,0.05127792975083768,502.73046875
prometheus-prometheus-kube-prometheus-prometheus-0,0.01669854705299477,244.046875
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0016278449413733602,48.56640625
prometheus-grafana-68589f687c-xbp7f,0.017306034186363815,308.36328125
prometheus-prometheus-node-exporter-9r6zb,0.001336337653395685,17.26953125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.001187873928929182,36.95703125
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.001158153958938958,46.734375
ai-prediction-7b6c54f4c9-hwsvl,0.0015809745345065564,120.2109375
storage-provisioner,0.0018432068390474192,25.80859375
